id np ll boot p1 p2 nu0 nu1 nu2 T1 T2 T3 theta
33699 6 -71649.355940125 pCA.n.c_11.sfs pCA.n pCA.c [1.010e-03 65.88 0.01217 0.03164 18.76 3.815e-03] 20317.2392905753
420126 6 -71731.1041590304 pCA.n.c_12.sfs pCA.n pCA.c [1.643e-03 77.69 0.003473 0.04067 14.08 1.227e-03] 26906.8351289249
590787 6 -71951.731153463 pCA.n.c_13.sfs pCA.n pCA.c [1.421e-03 87.7 0.005625 0.003689 29.01 1.687e-03] 13247.5928463531
193032 6 -71685.6467917111 pCA.n.c_15.sfs pCA.n pCA.c [2.042e-03 97.41 0.002717 0.009385 13.18 1.002e-03] 28442.0985980314
467624 6 -71961.056244741 pCA.n.c_16.sfs pCA.n pCA.c [1.010e-03 75.9 0.006184 0.02029 28.97 1.777e-03] 13474.9125219153
728073 6 -71924.2350780063 pCA.n.c_17.sfs pCA.n pCA.c [3.514e-03 58.81 0.004279 0.00973 15.07 1.368e-03] 24952.5100333775
425717 6 -71948.2869201092 pCA.n.c_20.sfs pCA.n pCA.c [1.478e-03 21.56 0.006104 0.003693 9.214 1.614e-03] 41541.3388451447
368739 6 -71871.0724933662 pCA.n.c_25.sfs pCA.n pCA.c [1.010e-03 28.99 0.004237 0.02596 11.03 1.200e-03] 35034.7597937025
265391 6 -71816.5489569434 pCA.n.c_26.sfs pCA.n pCA.c [4.952e-03 87.96 0.004398 0.03317 30.13 1.302e-03] 12791.6671629811
9627 6 -71794.5158091107 pCA.n.c_28.sfs pCA.n pCA.c [2.600e-03 41.37 0.003962 0.005271 18.75 1.028e-03] 20626.9223938281
166827 6 -71757.3386462283 pCA.n.c_3.sfs pCA.n pCA.c [1.010e-03 88.51 0.01021 0.02272 40.15 2.678e-03] 9739.43074996844
435538 6 -71934.8393034879 pCA.n.c_32.sfs pCA.n pCA.c [1.010e-03 32.77 0.003394 0.01456 8.667 1.086e-03] 43830.5278679852
670201 6 -71761.7938606102 pCA.n.c_33.sfs pCA.n pCA.c [4.192e-03 49.71 0.003377 0.04157 16.03 1.006e-03] 23752.6325395062
30752 6 -71721.130294369 pCA.n.c_34.sfs pCA.n pCA.c [1.010e-03 98.39 0.003689 0.02213 38.1 1.040e-03] 10175.0352788759
846454 6 -71819.8764627271 pCA.n.c_38.sfs pCA.n pCA.c [1.072e-03 94.84 0.003893 0.01815 23.99 1.262e-03] 15825.6403374457
961969 6 -71900.1256087316 pCA.n.c_40.sfs pCA.n pCA.c [3.392e-03 57.83 0.003827 0.006508 14.63 1.226e-03] 25562.9172504559
776969 6 -71769.6989795737 pCA.n.c_43.sfs pCA.n pCA.c [2.175e-03 75.36 0.003057 0.005616 15.98 1.049e-03] 23765.9290328151
751789 6 -71908.4065623494 pCA.n.c_47.sfs pCA.n pCA.c [1.010e-03 85.32 0.002912 0.007271 17.43 1.001e-03] 21757.4593104686
111614 6 -71914.9765187049 pCA.n.c_50.sfs pCA.n pCA.c [1.157e-03 40.67 0.004539 0.01511 18.27 1.188e-03] 21308.373443335
942079 6 -71287.4318288506 pCA.n.c_51.sfs pCA.n pCA.c [1.010e-03 99.82 0.003388 0.02155 20.64 1.153e-03] 18274.5677858583
316119 6 -71895.7775800143 pCA.n.c_52.sfs pCA.n pCA.c [1.010e-03 91.32 0.004092 0.01003 25.39 1.283e-03] 14948.2100542347
816947 6 -71970.4546485142 pCA.n.c_53.sfs pCA.n pCA.c [1.010e-03 72.06 0.004386 0.0373 27.34 1.225e-03] 14018.6241198685
656971 6 -71808.5557379826 pCA.n.c_54.sfs pCA.n pCA.c [1.017e-03 54.7 0.002843 0.009779 9.542 1.004e-03] 39452.1643502738
370800 6 -71345.3479225768 pCA.n.c_55.sfs pCA.n pCA.c [1.010e-03 78.75 0.003828 0.01653 25.41 1.135e-03] 14950.8293625247
744722 6 -71642.0370072231 pCA.n.c_58.sfs pCA.n pCA.c [1.010e-03 33.46 0.003159 0.01472 7.6 1.042e-03] 49428.0405038157
271622 6 -71683.7791625715 pCA.n.c_6.sfs pCA.n pCA.c [2.261e-03 97.69 0.00416 0.02592 15.03 1.493e-03] 24870.8389093288
910819 6 -71758.1783714369 pCA.n.c_60.sfs pCA.n pCA.c [2.925e-03 81.46 0.003772 0.02964 30.27 1.068e-03] 12687.9106335379
513004 6 -71745.1168571903 pCA.n.c_61.sfs pCA.n pCA.c [4.522e-03 60.27 0.004673 0.01831 22.05 1.348e-03] 17516.6896004848
115506 6 -71905.206988781 pCA.n.c_62.sfs pCA.n pCA.c [1.010e-03 35.15 0.005341 0.0182 18.51 1.291e-03] 21296.8236266728
782966 6 -71890.3168321521 pCA.n.c_64.sfs pCA.n pCA.c [1.009e-03 89.03 0.003617 0.03617 14.32 1.321e-03] 26613.9044874705
79487 6 -71995.6734345424 pCA.n.c_68.sfs pCA.n pCA.c [1.196e-03 66.18 0.003942 0.0123 28.5 1.081e-03] 13829.8131553714
803404 6 -71892.9702738644 pCA.n.c_7.sfs pCA.n pCA.c [1.010e-03 94.43 0.004673 0.01251 35.55 1.329e-03] 10871.7960449387
550441 6 -71804.0884110094 pCA.n.c_72.sfs pCA.n pCA.c [3.407e-03 68.1 0.006397 0.005224 14.99 2.123e-03] 24768.691664787
410479 6 -71837.1776211591 pCA.n.c_74.sfs pCA.n pCA.c [5.199e-03 83.37 0.004914 0.009879 14.63 1.716e-03] 25345.1268334574
