values parameter type
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
NA nu0 nu
65.88 nu1 nu
77.69 nu1 nu
87.7 nu1 nu
97.41 nu1 nu
75.9 nu1 nu
58.81 nu1 nu
21.56 nu1 nu
28.99 nu1 nu
87.96 nu1 nu
41.37 nu1 nu
88.51 nu1 nu
32.77 nu1 nu
49.71 nu1 nu
98.39 nu1 nu
94.84 nu1 nu
57.83 nu1 nu
75.36 nu1 nu
85.32 nu1 nu
40.67 nu1 nu
99.82 nu1 nu
91.32 nu1 nu
72.06 nu1 nu
54.7 nu1 nu
78.75 nu1 nu
33.46 nu1 nu
97.69 nu1 nu
81.46 nu1 nu
60.27 nu1 nu
35.15 nu1 nu
89.03 nu1 nu
66.18 nu1 nu
94.43 nu1 nu
68.1 nu1 nu
83.37 nu1 nu
55.52 nu1 nu
25.26 nu1 nu
31.77 nu1 nu
94.33 nu1 nu
58.31 nu1 nu
34.01 nu1 nu
78.32 nu1 nu
47.72 nu1 nu
27.4 nu1 nu
79.05 nu1 nu
93.78 nu1 nu
61.76 nu1 nu
73.5 nu1 nu
41.18 nu1 nu
56.23 nu1 nu
70.58 nu1 nu
0.01217 nu2 nu
0.003473 nu2 nu
0.005625 nu2 nu
0.002717 nu2 nu
0.006184 nu2 nu
0.004279 nu2 nu
0.006104 nu2 nu
0.004237 nu2 nu
0.004398 nu2 nu
0.003962 nu2 nu
0.01021 nu2 nu
0.003394 nu2 nu
0.003377 nu2 nu
0.003689 nu2 nu
0.003893 nu2 nu
0.003827 nu2 nu
0.003057 nu2 nu
0.002912 nu2 nu
0.004539 nu2 nu
0.003388 nu2 nu
0.004092 nu2 nu
0.004386 nu2 nu
0.002843 nu2 nu
0.003828 nu2 nu
0.003159 nu2 nu
0.00416 nu2 nu
0.003772 nu2 nu
0.004673 nu2 nu
0.005341 nu2 nu
0.003617 nu2 nu
0.003942 nu2 nu
0.004673 nu2 nu
0.006397 nu2 nu
0.004914 nu2 nu
0.003628 nu2 nu
0.003731 nu2 nu
0.004339 nu2 nu
0.003821 nu2 nu
0.005078 nu2 nu
0.003731 nu2 nu
0.002542 nu2 nu
0.002918 nu2 nu
0.004103 nu2 nu
0.003274 nu2 nu
0.003967 nu2 nu
0.002913 nu2 nu
0.004725 nu2 nu
0.00291 nu2 nu
0.004409 nu2 nu
0.003645 nu2 nu
0.03164 T1 T
0.04067 T1 T
0.003689 T1 T
0.009385 T1 T
0.02029 T1 T
0.00973 T1 T
0.003693 T1 T
0.02596 T1 T
0.03317 T1 T
0.005271 T1 T
0.02272 T1 T
0.01456 T1 T
0.04157 T1 T
0.02213 T1 T
0.01815 T1 T
0.006508 T1 T
0.005616 T1 T
0.007271 T1 T
0.01511 T1 T
0.02155 T1 T
0.01003 T1 T
0.0373 T1 T
0.009779 T1 T
0.01653 T1 T
0.01472 T1 T
0.02592 T1 T
0.02964 T1 T
0.01831 T1 T
0.0182 T1 T
0.03617 T1 T
0.0123 T1 T
0.01251 T1 T
0.005224 T1 T
0.009879 T1 T
