id np ll boot p1 p2 nu1 nu2 T1 T2 theta
870742 4 -68816.6954200712 CA.s.Mex_100.sfs CA.s Mex [2.099e+01 0.001432 3.944 4.285e-03] 74796.19266025
856843 4 -69131.9635086957 CA.s.Mex_11.sfs CA.s Mex [2.611e+01 0.001014 4.81 3.326e-03] 64388.710598944
860874 4 -69014.3319163116 CA.s.Mex_12.sfs CA.s Mex [4.378e+01 0.001652 9.487 5.369e-03] 35700.4865532398
121853 4 -69139.9839310177 CA.s.Mex_14.sfs CA.s Mex [2.100e+01 0.001048 4.519 3.251e-03] 68595.3807582345
952498 4 -69214.2592504142 CA.s.Mex_2.sfs CA.s Mex [7.280e+01 0.001023 12.27 3.930e-03] 28291.4474146511
325187 4 -69260.5210805084 CA.s.Mex_20.sfs CA.s Mex [3.581e+01 0.001519 8.289 4.837e-03] 40755.7920171096
862290 4 -69340.8643134392 CA.s.Mex_21.sfs CA.s Mex [8.650e+01 0.001046 1.258 4.030e-03] 153430.864600865
347425 4 -68946.0746615408 CA.s.Mex_22.sfs CA.s Mex [2.207e+01 0.001094 4.803 3.412e-03] 65401.1208814368
879874 4 -69291.7795267091 CA.s.Mex_23.sfs CA.s Mex [1.739e+01 0.001117 5.032 3.045e-03] 62731.520801444
737876 4 -69318.4325321095 CA.s.Mex_26.sfs CA.s Mex [7.934e+01 0.001021 2.493 4.185e-03] 102329.259774454
984305 4 -68951.5451165058 CA.s.Mex_28.sfs CA.s Mex [5.533e+01 0.001011 1.602 3.770e-03] 133907.659391752
375657 4 -69220.5603964281 CA.s.Mex_3.sfs CA.s Mex [4.036e+01 0.001057 1.749 3.800e-03] 127942.386302051
815864 4 -69151.6570234497 CA.s.Mex_31.sfs CA.s Mex [4.359e+01 0.001771 9.637 5.760e-03] 35508.4221714483
208106 4 -69357.8925152527 CA.s.Mex_33.sfs CA.s Mex [3.467e+01 0.001336 4.102 4.648e-03] 71901.1864369436
609970 4 -69216.8932817157 CA.s.Mex_34.sfs CA.s Mex [4.560e+01 0.001026 12.27 3.406e-03] 28861.1468414032
131695 4 -69338.9755788673 CA.s.Mex_36.sfs CA.s Mex [9.067e+01 0.001004 2.066 4.065e-03] 114245.896611759
75602 4 -69345.5158585421 CA.s.Mex_37.sfs CA.s Mex [3.125e+01 0.001007 6.021 3.409e-03] 53772.3512186487
357677 4 -69364.2558019775 CA.s.Mex_44.sfs CA.s Mex [4.771e+01 0.001263 7.912 4.480e-03] 41748.067056092
565553 4 -69007.0064130384 CA.s.Mex_45.sfs CA.s Mex [7.043e+01 0.001004 1.233 3.736e-03] 153739.604107838
28225 4 -69361.2771174345 CA.s.Mex_46.sfs CA.s Mex [5.492e+01 0.001045 1.617 3.942e-03] 134588.247488494
135480 4 -69162.8878467341 CA.s.Mex_47.sfs CA.s Mex [1.307e+01 0.00102 1.586 2.914e-03] 138144.457685253
694482 4 -69051.4617045967 CA.s.Mex_5.sfs CA.s Mex [1.762e+01 0.001151 1.696 3.525e-03] 132390.84014951
676250 4 -69342.5042863468 CA.s.Mex_51.sfs CA.s Mex [2.494e+01 0.001038 8.273 2.923e-03] 41252.9527282853
423917 4 -69338.7157480514 CA.s.Mex_52.sfs CA.s Mex [3.186e+01 0.001507 5.954 4.890e-03] 53809.8617900437
