values parameter type
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
NA nu1 nu
0.001432 nu2 nu
0.001014 nu2 nu
0.001652 nu2 nu
0.001048 nu2 nu
0.001023 nu2 nu
0.001519 nu2 nu
0.001046 nu2 nu
0.001094 nu2 nu
0.001117 nu2 nu
0.001021 nu2 nu
0.001011 nu2 nu
0.001057 nu2 nu
0.001771 nu2 nu
0.001336 nu2 nu
0.001026 nu2 nu
0.001004 nu2 nu
0.001007 nu2 nu
0.001263 nu2 nu
0.001004 nu2 nu
0.001045 nu2 nu
0.00102 nu2 nu
0.001151 nu2 nu
0.001038 nu2 nu
0.001507 nu2 nu
0.001007 nu2 nu
0.001544 nu2 nu
0.001719 nu2 nu
0.001021 nu2 nu
0.00143 nu2 nu
0.001028 nu2 nu
0.00102 nu2 nu
0.001037 nu2 nu
0.00104 nu2 nu
0.001198 nu2 nu
0.001033 nu2 nu
0.001167 nu2 nu
0.001467 nu2 nu
0.001005 nu2 nu
0.001024 nu2 nu
0.00102 nu2 nu
0.001292 nu2 nu
0.001046 nu2 nu
0.001042 nu2 nu
0.001144 nu2 nu
0.001153 nu2 nu
0.001013 nu2 nu
0.001027 nu2 nu
0.001009 nu2 nu
0.00122 nu2 nu
0.001554 nu2 nu
3.944 T1 T
4.81 T1 T
9.487 T1 T
4.519 T1 T
12.27 T1 T
8.289 T1 T
1.258 T1 T
4.803 T1 T
5.032 T1 T
2.493 T1 T
1.602 T1 T
1.749 T1 T
9.637 T1 T
4.102 T1 T
12.27 T1 T
2.066 T1 T
6.021 T1 T
7.912 T1 T
1.233 T1 T
1.617 T1 T
1.586 T1 T
1.696 T1 T
8.273 T1 T
5.954 T1 T
2.866 T1 T
4.362 T1 T
22.52 T1 T
4.995 T1 T
5.118 T1 T
2.609 T1 T
9.812 T1 T
4.94 T1 T
2.559 T1 T
2.164 T1 T
1.282 T1 T
14.93 T1 T
5.837 T1 T
8.169 T1 T
8.863 T1 T
3.561 T1 T
2.269 T1 T
1.516 T1 T
3.823 T1 T
1.455 T1 T
8.809 T1 T
3.371 T1 T
3.405 T1 T
4.526 T1 T
1.803 T1 T
10.48 T1 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
NA T2 T
74796.19266025 theta theta
64388.710598944 theta theta
35700.4865532398 theta theta
68595.3807582345 theta theta
28291.4474146511 theta theta
40755.7920171096 theta theta
153430.864600865 theta theta
65401.1208814368 theta theta
62731.520801444 theta theta
102329.259774454 theta theta
133907.659391752 theta theta
127942.386302051 theta theta
35508.4221714483 theta theta
71901.1864369436 theta theta
28861.1468414032 theta theta
114245.896611759 theta theta
53772.3512186487 theta theta
41748.067056092 theta theta
153739.604107838 theta theta
134588.247488494 theta theta
138144.457685253 theta theta
132390.84014951 theta theta
41252.9527282853 theta theta
53809.8617900437 theta theta
93447.0939232452 theta theta
67915.3746675076 theta theta
16337.6921377059 theta theta
63352.0920421117 theta theta
61741.3978381607 theta theta
99296.9684763439 theta theta
35001.6546597887 theta theta
62605.402679468 theta theta
103574.129536994 theta theta
113710.999809307 theta theta
150528.74605857 theta theta
24206.7046428376 theta theta
55066.2177989475 theta theta
40624.8024164479 theta theta
38816.3344221457 theta theta
81742.7593833253 theta theta
110094.31203339 theta theta
140020.786705601 theta theta
78019.740199247 theta theta
141312.746944253 theta theta
38410.8862990252 theta theta
82873.1729902727 theta theta
85067.8142659276 theta theta
69384.0189466328 theta theta
125275.25937116 theta theta
33013.6022082652 theta theta
