Ind.ID pred.pop 1 2 3
1 2 0.12 0.86 0.02
2 2 0.28 0.48 0.24
3 1 0.52 0.46 0.02
4 2 0.24 0.74 0.02
5 2 0.02 0.94 0.04
6 1 0.58 0.38 0.04
7 2 0.14 0.84 0.02
8 2 0.26 0.74 0
9 1 0.6 0.36 0.04
10 1 0.48 0.48 0.04
11 2 0 1 0
12 2 0.06 0.9 0.04
13 2 0 0.98 0.02
14 2 0.4 0.46 0.14
15 2 0.16 0.84 0
16 2 0.06 0.94 0
17 3 0.14 0.14 0.72
18 1 0.7 0.16 0.14
19 1 0.46 0.28 0.26
20 2 0.1 0.9 0
21 1 0.54 0.46 0
22 2 0 0.98 0.02
23 2 0.02 0.62 0.36
24 1 0.52 0.42 0.06
25 2 0 1 0
26 1 0.62 0.28 0.1
27 1 0.6 0.24 0.16
28 2 0.04 0.96 0
29 2 0.02 0.98 0
30 1 0.84 0.16 0
31 1 0.46 0.42 0.12
32 2 0.26 0.7 0.04
33 1 0.96 0.04 0
34 2 0.18 0.82 0
35 1 0.38 0.26 0.36
36 3 0.1 0.44 0.46
37 1 0.38 0.24 0.38
38 1 0.9 0.06 0.04
39 2 0.06 0.9 0.04
40 2 0.4 0.54 0.06
41 2 0.46 0.52 0.02
42 1 0.98 0.02 0
43 2 0 1 0
44 2 0.36 0.62 0.02
45 1 0.94 0.04 0.02
46 1 0.64 0.36 0
47 1 0.56 0.4 0.04
48 1 0.52 0.48 0
49 2 0.3 0.66 0.04
50 1 0.5 0.46 0.04
51 1 0.82 0.1 0.08
52 2 0.06 0.9 0.04
53 2 0.28 0.7 0.02
54 2 0.22 0.78 0
55 1 0.98 0 0.02
56 1 0.92 0.08 0
57 2 0.42 0.52 0.06
58 2 0.06 0.9 0.04
59 3 0.4 0.06 0.54
