Ind.ID pred.pop 1 2 3 4
1 2 0.18 0.64 0.18 0
2 1 0.68 0.04 0.1 0.18
3 2 0.34 0.38 0.22 0.06
4 1 0.58 0.02 0.28 0.12
5 4 0.2 0.06 0.36 0.38
6 1 0.72 0.02 0.22 0.04
7 1 0.72 0.02 0.16 0.1
8 3 0.32 0.16 0.5 0.02
9 1 0.48 0.22 0.2 0.1
10 1 0.54 0.14 0.3 0.02
11 2 0.04 0.68 0.18 0.1
12 2 0.06 0.8 0.12 0.02
13 3 0.04 0.06 0.9 0
14 1 0.54 0.16 0.22 0.08
15 2 0.28 0.62 0.1 0
16 3 0.02 0.16 0.82 0
17 4 0.26 0.2 0.12 0.42
18 1 0.68 0.04 0.22 0.06
19 1 0.62 0.04 0.12 0.22
20 2 0.1 0.66 0.22 0.02
21 2 0.3 0.66 0.04 0
22 2 0.04 0.72 0.16 0.08
23 2 0.3 0.44 0.1 0.16
24 1 0.78 0.02 0.02 0.18
25 2 0.04 0.72 0.24 0
26 2 0.38 0.4 0.12 0.1
27 1 0.42 0.32 0.08 0.18
28 3 0.08 0.12 0.78 0.02
29 3 0.18 0.28 0.54 0
30 1 0.7 0.08 0.02 0.2
31 2 0.34 0.4 0 0.26
32 1 0.62 0.06 0.22 0.1
33 1 0.82 0.06 0 0.12
34 3 0.12 0.16 0.72 0
35 1 0.68 0.18 0 0.14
36 2 0.1 0.46 0.2 0.24
37 1 0.44 0.22 0.1 0.24
38 1 0.82 0.06 0.06 0.06
39 3 0.12 0.1 0.72 0.06
40 1 0.48 0.18 0.12 0.22
41 2 0.18 0.7 0.08 0.04
42 1 0.76 0.1 0.02 0.12
43 3 0.02 0.36 0.52 0.1
44 1 0.72 0.04 0.16 0.08
45 1 0.96 0.04 0 0
46 1 0.68 0.1 0.1 0.12
47 1 0.44 0.1 0.26 0.2
48 2 0.26 0.66 0.08 0
49 2 0.18 0.42 0.28 0.12
50 3 0.12 0.08 0.78 0.02
51 1 0.9 0.02 0 0.08
52 2 0.02 0.76 0.22 0
53 2 0.12 0.66 0.18 0.04
54 3 0.34 0.2 0.46 0
55 1 0.92 0 0.02 0.06
56 1 0.68 0.14 0.02 0.16
57 1 0.48 0.08 0.3 0.14
58 2 0.08 0.68 0.2 0.04
59 1 0.64 0.04 0.04 0.28
