"x" "y" "layer"
"4" -121.927580751569 36.6 70.1
"423" -121.960480057113 36.6 68.8
"563" -121.960480057113 36.5 69.5
"703" -121.960480057113 36.5 68.2
"844" -121.927580751569 36.5 69.5
"1124" -121.927580751569 36.4 68.6
"1685" -121.894681446025 36.3 71.3
"1826" -121.861782140482 36.3 64.9
"1966" -121.861782140482 36.3 69
"1967" -121.828882834938 36.3 68.6
"2107" -121.828882834938 36.2 68.6
"2108" -121.795983529394 36.2 65.6
"2109" -121.76308422385 36.2 58.7
"2249" -121.76308422385 36.2 57.6
"2250" -121.730184918307 36.2 57.1
"2390" -121.730184918307 36.2 70.1
"2391" -121.697285612763 36.2 66
"2531" -121.697285612763 36.2 70.4
"2532" -121.664386307219 36.2 67.9
"2672" -121.664386307219 36.1 70.4
"2813" -121.631487001675 36.1 70.1
"2953" -121.631487001675 36.1 70.4
"2954" -121.598587696132 36.1 67.6
"3094" -121.598587696132 36 70.2
"3235" -121.565688390588 36 72.8
"3236" -121.532789085044 36 58.6
"3237" -121.499889779501 36 71.8
"3377" -121.499889779501 36 69.5
"3517" -121.499889779501 36 70.2
"3518" -121.466990473957 36 71.8
"3658" -121.466990473957 35.9 71.6
"3798" -121.466990473957 35.9 66.6
"3938" -121.466990473957 35.9 69.1
"3939" -121.434091168413 35.9 69.5
"4079" -121.434091168413 35.9 69.7
"4080" -121.401191862869 35.9 70
"4220" -121.401191862869 35.8 69.3
"4221" -121.368292557326 35.8 61.8
"4361" -121.368292557326 35.8 66
"4362" -121.335393251782 35.8 70.5
"4502" -121.335393251782 35.8 69
"4783" -121.302493946238 35.7 70.9
"4923" -121.302493946238 35.7 70.1
"5064" -121.269594640695 35.7 68.3
"5065" -121.236695335151 35.7 69.1
"5066" -121.203796029607 35.7 70.4
"5205" -121.236695335151 35.6 70.4
"5206" -121.203796029607 35.6 69.1
"5207" -121.170896724063 35.6 70.2
"5348" -121.13799741852 35.6 69.7
"5488" -121.13799741852 35.6 70.4
"5629" -121.105098112976 35.6 72.5
"5769" -121.105098112976 35.5 79.6
"5770" -121.072198807432 35.5 69.5
"5910" -121.072198807432 35.5 76.5
"5911" -121.039299501888 35.5 76.9
"6051" -121.039299501888 35.5 69.7
"6052" -121.006400196345 35.5 68.9
"6192" -121.006400196345 35.4 70.4
"6193" -120.973500890801 35.4 68.9
"7316" -120.87480297417 35.2 68.8
"7457" -120.841903668626 35.2 67
"7458" -120.809004363082 35.2 75.6
"7598" -120.809004363082 35.2 68.1
"7599" -120.776105057539 35.2 67.5
"7600" -120.743205751995 35.2 69.3
"7601" -120.710306446451 35.2 67.1
"7602" -120.677407140908 35.2 67.5
"7739" -120.776105057539 35.2 70.4
"7740" -120.743205751995 35.2 67.5
"7742" -120.677407140908 35.2 68
"7743" -120.644507835364 35.2 66.1
"7883" -120.644507835364 35.1 67
"7884" -120.61160852982 35.1 67.5
"8023" -120.644507835364 35.1 68
"8024" -120.61160852982 35.1 67
"8164" -120.61160852982 35.1 67.7
"8303" -120.644507835364 35 60.9
