"x" "y" "layer"
"64" -117.444666812482 33.3 45.8
"93" -117.412599838563 33.2 45.5
"121" -117.412599838563 33.2 45.7
"122" -117.380532864644 33.2 45.5
"150" -117.380532864644 33.2 45.3
"151" -117.348465890726 33.2 45.8
"179" -117.348465890726 33.1 45.6
"208" -117.316398916807 33.1 45.7
"293" -117.284331942889 33 46.9
"321" -117.284331942889 33 48.8
"349" -117.284331942889 33 49.4
"377" -117.284331942889 33 50.3
"378" -117.25226496897 33 45.6
"406" -117.25226496897 32.9 67.7
"434" -117.25226496897 32.9 61.6
"462" -117.25226496897 32.9 130.8
"489" -117.284331942889 32.8 259.2
"490" -117.25226496897 32.8 71.6
"602" -117.25226496897 32.7 305
"630" -117.25226496897 32.7 137.9
"631" -117.220197995052 32.7 73
"632" -117.188131021133 32.7 50.9
"658" -117.25226496897 32.7 237.5
"659" -117.220197995052 32.7 81.8
"660" -117.188131021133 32.7 92.3
"661" -117.156064047215 32.7 79.9
"686" -117.25226496897 32.7 53.1
"689" -117.156064047215 32.7 215.5
"717" -117.156064047215 32.6 77
"718" -117.123997073296 32.6 236.2
"746" -117.123997073296 32.6 79.9
"747" -117.091930099377 32.6 68.3
"774" -117.123997073296 32.6 111.7
"802" -117.123997073296 32.6 102.2
"830" -117.123997073296 32.5 87.9
"858" -117.123997073296 32.5 208.5
"886" -117.123997073296 32.5 117.4
"914" -117.123997073296 32.4 162.3
"915" -117.091930099377 32.4 143.4
"938" -117.25226496897 32.4 49.2
"943" -117.091930099377 32.4 56.5
"966" -117.25226496897 32.4 49.6
"971" -117.091930099377 32.4 125.7
"999" -117.091930099377 32.4 60.7
"1000" -117.059863125459 32.4 114.4
"1028" -117.059863125459 32.3 107.9
"1056" -117.059863125459 32.3 97.6
"1057" -117.02779615154 32.3 129.6
"1085" -117.02779615154 32.3 46
"1114" -116.995729177622 32.3 46.2
"1116" -116.931595229785 32.3 45.7
"1144" -116.931595229785 32.2 45.3
"1172" -116.931595229785 32.2 144.6
"1173" -116.899528255866 32.2 140.5
"1201" -116.899528255866 32.2 126.6
"1229" -116.899528255866 32.1 43.9
"1257" -116.899528255866 32.1 45.9
"1313" -116.899528255866 32.1 139.8
"1341" -116.899528255866 32 138.9
"1370" -116.867461281947 32 45.8
"1398" -116.867461281947 32 116.5
"1399" -116.835394308029 32 45.8
